,Date,Study,Study Link,Journal,Study Type,Detection Method,Sample (n),Measure of Evidence (Sn & Sp),Speed of assay,FDA approval (Y/N),Added on,Study Population,Sample Text,Matches,Entry
,2020-08-31,COVID-19: From bench to bed side,https://doi.org/10.1016/j.dsx.2020.04.011,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Other,,2.2,,,,,"Methods We systematically searched the PubMed database up till April 2, 2020 and retrieved all the articles published on SARS-CoV-2, SARS-CoV-1, MERS-CoV that dealt with viral dynamics.","The Chinese epidemic also doubled about every seven days and on average, each patient transmits the infection to an additional 2.2 individuals, suggesting the basic reproduction number (R0 or R naught) to be 2.2, which is a bit lesser compared to R0 of the SARS-CoV-1 epidemic of nearly 3.0, in 2002e2003 .",Rapid diagnostic tests will be helpful for screening and diagnosing COVID-19 patients.,2020-05-12
,2020-07-31,Pathogenic viruses: Molecular detection and characterization,https://doi.org/10.1016/j.meegid.2020.104215,"Infection, Genetics and Evolution",Other,,861.0,,,,,"Up to January 2020, WHO had reported 861 laboratory-confirmed cases of human infection with H5N1, 455 of which were fatal, resulting in a mortality rate of 53% (World Health Organization (WHO), 2020).","Up to January 2020, WHO had reported 861 laboratory-confirmed cases of human infection with H5N1, 455 of which were fatal, resulting in a mortality rate of 53% (World Health Organization (WHO), 2020).","Advances in molecular biology techniques have revolutionized the procedures for detection and characterization of pathogenic viruses.

Dramatic advances in molecular methods have revolutionized the detection and characterization of emerging viruses.

Advances in molecular biology techniques should be contingent with the development of more effective diagnostic tests for emerging viruses.

Molecular methods, in particular PCR and DNA sequencing technologies, have become the methods of choice for the detection and characterization of emerging and re-emerging pathogenic viruses.",2020-03-27
,2020-07-31,Five-minute point-of-care testing for SARS-CoV-2: Not there yet,https://doi.org/10.1016/j.jcv.2020.104410,Journal of Clinical Virology,Other,,,,,,,We suggest that repeat testing be performed in a clinical laboratory with EUA for patients with a moderate to high pre-test probability who test negative with this device.,We suggest that repeat testing be performed in a clinical laboratory with EUA for patients with a moderate to high pre-test probability who test negative with this device.,"As shown in this comparative diagnostic accuracy study, the performance of the 5-minute point-of-care test has significant limitations for the diagnosis of COVID-19.",2020-05-12
,2020-07-01,Electrochemical biosensors for pathogen detection,https://doi.org/10.1016/j.bios.2020.112214,Biosensors and Bioelectronics,Other,,5.0,,,,,We next discuss impedance-based electrochemical methods for detection of pathogens using electrochemical biosensors.,created a screen-printed graphite-based electrode for electrochemical detection of Vibrio parahaemolyticus (V. parahaemolyticus) based on 5 μL samples (Zhao et al.,"Diagnostic assays based on traditional bioanalytical techniques for detection of pathogens in body fluids are the gold standard and serve an essential role in healthcare by enabling the diagnosis and treatment of various diseases.

A list of recent label-based approaches for pathogen detection using electrochemical biosensors, however, is provided in Table 2 .

Abstract Recent advances in electrochemical biosensors for pathogen detection are reviewed.

Biosensors offer a complementary diagnostic platform that enable rapid and costeffective measurements, high sensitivity, and the ability to make measurements in complex matrices that pose challenges to traditional bioanalytical techniques.",2020-05-12
,2020-05-06,The impact of biosensing in a pandemic outbreak: COVID-19,https://doi.org/10.1016/j.bios.2020.112274,Biosensors and Bioelectronics,Other,,2.0,,,,,"a (""COVID-19 and Coagulopathy -Hematology.org,"" 2020; ""Read Online-Handbook of COVID-19 Prevention and Treatment.pdf,"" 2020).","Besides, CRISPR-Biosensor's group would like to target two characteristic genome sequences (E gene and RdRP gene) of SARS-CoV-2 simultaneously, using a multiplexed microfluidic chip.","In this regard, other biosensing technologies offer a complementary approach to standard PCR-based tests not only in terms of sensitivity, but also in terms of diagnostics and therapeutic decisions.",2020-05-12
,2020-05-05,"An Environmental and Health Perspective for COVID-19 Outbreak: Meteorology and Air Quality Influence, Sewage Epidemiology Indicator, Hospitals Disinfection, Drug Therapies and Recommendations",https://doi.org/10.1016/j.jece.2020.104006,Journal of Environmental Chemical Engineering,Other,,4443.0,,,,,"Fortunately, in this study all air samples which were collected 2 to 5 m from the patients' beds with confirmed COVID-19 were negative.","Results show that out of the 4,443 fatality cases, 3,487 (78%) were in five regions located in North Italy and central Spain.",Paper-based devices are powerful and cheap tools for the rapid diagnosis of pathogens and determination infection of transmission .,2020-05-12
,2020-05-02,Beyond the Spike: identification of viral targets of the antibody response to SARS-CoV-2 in COVID-19 patients,https://doi.org/10.1101/2020.04.30.20085670,medrxiv,Other,,26.0,,,,,Methods: We evaluated the anti-SARS-CoV-2 antibody profiles to 15 SARS-CoV-2 antigens by cloning and expressing 15 open reading frames (ORFs) in mammalian cells and screened antibody responses to them in COVID-19 patients using the Luciferase Immunoprecipitation System (LIPS).,"Our study enrolled a total of 26 patients with RT-PCR confirmed COVID-19 infection 362 (Table 1) Table 1 , and primers sequences in 375","Although several serology tests are in use, improving their specificity and sensitivity for early diagnosis on the one hand and for detecting past infection for population-based studies, are priorities.",2020-05-12
,2020-05-01,Enabling and Emerging Technologies for Social Distancing: A Comprehensive Survey,https://doi.org/,ArXiv,Other,,,,,,,"In particular, the technique constructs a multivariate hidden Markov model through aggregating influenza morbidity data, influenza-related data from Google, and international air transportation data.",Remix consists of two processes.,"To improve the accuracy in detecting human from surveillance cameras, some advanced techniques can be implemented such as , and .",2020-05-12
,2020-04-30,Recent advances and perspectives of nucleic acid detection for coronavirus,https://doi.org/10.1016/j.jpha.2020.02.010,Journal of Pharmaceutical Analysis,Other,,6.0,,,,,"An efficient assay for the detection of SARS-CoV by RCA was set up in both liquid and solid phases , and presented preliminary results on a small number of clinical respiratory specimens.","It is commonly used for the amplification of DNAs and RNAs, which exhibits great sensitivity and high specificity as a result of its exponential amplification feature and 6 different target sequences identified by 4 different primers simultaneously, respectively .","Herein, a number of LAMP-based coronavirus detection methods have been developed and applied in clinical diagnosis.

Owing to its large range of applications, high sensitivity and high sequence specificity, the PCR-based method has become a routine and reliable technique for detecting coronaviruses .",2020-05-01
,2020-04-30,SnapShot: COVID-19,https://doi.org/10.1016/j.cell.2020.04.013,Cell,Other,,,,,,,"Blake Oberfeld, 1 Aditya Achanta, 1 Kendall Carpenter, 1 Pamela Chen, 1 Nicole M. Gilette, 1 Pinky Langat, 1 Jordan T. Said, 1 Abigail E. Schiff, 1,2, Allen S. Zhou, 1 Amy K. Barczak, 1,2 and Shiv Pillai In December 2019, several cases of pneumonia of unknown origin were reported in Wuhan, China.","Chest computed tomography (CT) scans of symptomatic patients are sensitive for detecting disease but nonspecific (CDC, 2020).","Reverse transcriptase-polymerase chain reaction of respiratory samples remains the gold standard for diagnosing COVID-19, though immunoassays, isothermal nucleic acid amplification tests, and CRISPR-based diagnostic tests are in development to facilitate rapid point-of-care testing and address global testing shortages (Pang et al., 2020) .",2020-05-12
